"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"189","Nikita Kucherov\kucheni01",25,"TBL","RW",82,41,87,128,0.604930839641097
"30","Patrice Bergeronergepa01",33,"BOS","C",65,32,47,79,0.438411210252142
"219","Brad Marchand\marchbr03",30,"BOS","LW",79,36,64,100,0.406377895515711
"228","Connor McDavid\mcdavco01",22,"EDM","C",78,41,75,116,0.385273272561678
"322","Steven Stamkos\stamkst01",28,"TBL","C",82,45,53,98,0.383875341467134
"261","David Pastrnak\pastrda01",22,"BOS","RW",66,38,43,81,0.343267593755962
"222","Mitch Marner\marnemi01",21,"TOR","RW",82,26,68,94,0.313591651959646
"271","Brayden Point\pointbr01",22,"TBL","C",79,41,51,92,0.298915292884222
"71","Sidney Crosby\crosbsi01",31,"PIT","C",79,35,65,100,0.289989464735209
"151","Jonathan Huberdeau\huberjo01",25,"FLA","C",82,30,62,92,0.275514205650756
"117","Johnny Gaudreau\gaudrjo01",25,"CGY","LW",82,36,63,99,0.260906568208388
"38","Travis Boydoydtr01",25,"WSH","C",53,5,15,20,0.256358726483978
"83","Nic Dowd\dowdni01",28,"WSH","C",64,8,14,22,0.2543021161851
"226","Auston Matthews\matthau01",21,"TOR","C",68,37,36,73,0.245216884906844
"357","Austin Wagner\wagneau01",21,"LAK","LW",62,12,9,21,0.241511080810896
"335","John Tavares	avarjo01",28,"TOR","C",82,47,41,88,0.237233502003231
"84","Leon Draisaitl\draisle01",23,"EDM","C",82,50,55,105,0.227172526013818
"118","Frederik Gauthier\gauthfr01",23,"TOR","C",70,3,11,14,0.225525474217045
"168","Patrick Kane\kanepa01",30,"CHI","RW",81,44,66,110,0.224162241683971
"73","Matt Cullen\cullema01",42,"PIT","C",71,7,13,20,0.207602617354737
"135","Taylor Hall\hallta02",27,"NJD","LW",33,11,26,37,0.202817411839256
"231","Timo Meier\meierti01",22,"SJS","RW",78,30,36,66,0.196406726395112
"336","Teuvo Teravainen	eravte01",24,"CAR","LW",82,21,55,76,0.194089407885194
"23","Aleksander Barkovarkoal01",23,"FLA","C",82,35,61,96,0.185168545379657
"96","Tyler Ennis\ennisty01",29,"TOR","C",51,12,6,18,0.181121303587939
"344","Matthew Tkachuk	kachma01",21,"CGY","LW",80,34,43,77,0.179833393666335
"143","Tomas Hertl\hertlto01",25,"SJS","C",77,35,39,74,0.179355690318765
"22","Ivan Barbashevarbaiv01",23,"STL","C",80,14,12,26,0.177451721406396
"216","Evgeni Malkin\malkiev01",32,"PIT","C",68,21,51,72,0.171538668858538
"50","Ryan Callahan\callary01",33,"TBL","RW",52,7,10,17,0.168232728764969
"234","Sean Monahan\monahse01",24,"CGY","C",78,34,48,82,0.166959572383589
"111","Michael Frolikrolimi01",30,"CGY","LW",65,16,18,34,0.166230965876999
"64","Brett Connolly\connobr01",26,"WSH","RW",81,22,24,46,0.166135063652334
"177","Phil Kessel\kesseph01",31,"PIT","RW",82,27,55,82,0.165369970234942
"301","Andrew Shaw\shawan01",27,"MTL","C",63,19,28,47,0.164153872743972
"57","Casey Cizikas\cizikca01",27,"NYI","C",73,20,13,33,0.163334253535901
"287","Antoine Roussel
oussan01",29,"VAN","LW",65,9,22,31,0.153832353348481
"162","Mathieu Joseph\josepma01",21,"TBL","RW",70,13,13,26,0.153558359235695
"193","Kevin Labanc\labanke01",23,"SJS","RW",82,17,39,56,0.153441669984743
"204","Brendan Lemieux\lemiebr01",22,"TOT","LW",63,12,5,17,0.153204224503226
"138","Jayce Hawryluk\hawryja01",23,"FLA","C",42,7,5,12,0.152691041753756
"364","Blake Wheeler\wheelbl01",32,"WPG","RW",82,20,71,91,0.152592245902949
"80","Max Domi\domima01",23,"MTL","LW",82,28,44,72,0.14819183638681
"154","Mark Jankowski\jankoma01",24,"CGY","C",79,14,18,32,0.1473058817411
"56","Anthony Cirelli\cirelan01",21,"TBL","C",82,19,20,39,0.139173989260057
"161","Andreas Johnsson\johnsan01",24,"TOR","LW",73,20,23,43,0.138136066387755
"99","Adam Erne\ernead01",23,"TBL","LW",65,7,13,20,0.135656292565003
"187","David Krejci\krejcda01",32,"BOS","C",81,20,53,73,0.134847187292952
"277","Mikko Rantanen
antami01",22,"COL","RW",74,31,56,87,0.133405619882925
"77","Alex DeBrincat\debrial01",21,"CHI","RW",82,41,35,76,0.128997377901005
"257","Artemi Panarin\panarar01",27,"CBJ","LW",79,28,59,87,0.128752058201931
"137","Garnet Hathaway\hathaga01",27,"CGY","RW",76,11,8,19,0.126617851036401
"360","Austin Watson\watsoau01",27,"NSH","LW",37,7,9,16,0.126184962823863
"66","Andrew Copp\coppan01",24,"WPG","C",69,11,14,25,0.125286504213829
"88","Matt Duchene\duchema01",28,"TOT","C",73,31,39,70,0.124957383720729
"286","Jack Roslovic
osloja01",22,"WPG","C",77,9,15,24,0.122557142258339
"188","Marcus Kruger\krugema01",28,"CHI","C",74,4,8,12,0.120300487853975
"58","Kyle Clifford\cliffky01",28,"LAK","LW",72,11,10,21,0.119378643796728
"102","Eric Fehrehrer01",33,"MIN","RW",72,7,8,15,0.116857982532207
"13","Zach Aston-Reesestonza01",24,"PIT","C",43,8,9,17,0.115379205802997
"323","Paul Stastny\stastpa01",33,"VEG","C",50,13,29,42,0.115330693830433
"267","David Perron\perroda01",30,"STL","LW",57,23,23,46,0.110711478234061
"208","Elias Lindholm\lindhel01",24,"CGY","C",81,27,51,78,0.110142996188567
"120","Brian Gibbons\gibbobr02",30,"TOT","C",64,8,11,19,0.108675562680642
"327","Mark Stone\stonema01",26,"TOT","RW",77,33,40,73,0.107450468766226
